bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,lat,long,sqft_living15,sqft_lot15,month,year,real_price,predict_price
2,1.0,990,57499,1.0,0,0,2,6,990,0,1949,0,47.4145,-122.463,2090,27442,5,2015,329000.0,248662.06
3,1.75,1340,63597,1.0,0,0,4,7,1340,0,1963,0,47.4379,-122.011,1950,87120,4,2015,415000.0,326486.12
5,1.75,2320,7700,1.0,0,0,5,7,1290,1030,1962,0,47.3426,-122.285,1740,7210,9,2014,250000.0,322787.34
2,1.0,880,1712,2.0,0,0,4,7,880,0,1945,0,47.6475,-122.397,1360,1748,1,2015,323000.0,486300.47
4,2.5,3910,8442,2.0,0,0,3,9,2710,1200,2000,0,47.3766,-122.027,2650,7576,4,2015,489000.0,526597.5
6,1.75,1840,2774,1.0,0,0,3,7,1060,780,1900,0,47.6041,-122.31,1680,4292,6,2014,660000.0,507427.16
3,2.5,1810,7210,1.0,0,0,5,7,1210,600,1968,0,47.5067,-122.163,1770,7210,1,2015,420000.0,363036.28
4,2.25,2180,8000,1.0,0,0,4,9,1630,550,1975,0,47.317,-122.378,2310,8000,12,2014,340000.0,325618.97
3,2.25,1445,1087,2.0,0,0,3,7,1300,145,2005,0,47.5339,-122.067,1410,1336,9,2014,355000.0,351527.1
3,1.0,1720,16552,1.0,0,0,4,7,1720,0,1971,0,47.4772,-122.153,1550,15457,9,2014,354900.0,325730.97
4,2.5,2910,20946,2.0,0,0,4,8,2350,560,1976,0,47.7085,-122.24,2020,11342,12,2014,705000.0,728066.9
3,1.0,1020,7650,1.0,0,0,3,6,1020,0,1919,0,47.6795,-122.202,1870,5500,1,2015,625000.0,480207.34
3,3.5,3690,8837,2.0,0,0,3,10,3690,0,2001,0,47.5402,-121.876,3690,9585,6,2014,725000.0,816636.94
3,2.25,1470,9140,2.0,0,2,3,7,1470,0,1982,0,47.7162,-122.349,1400,8204,11,2014,376000.0,397134.03
5,3.25,2680,3011,2.0,0,0,3,9,1870,810,1910,2014,47.6115,-122.287,3440,5165,12,2014,1028950.0,1483685.5
3,2.75,2550,11160,2.0,0,0,3,8,2550,0,1994,0,47.7351,-122.323,1020,7440,5,2014,430000.0,530784.4
2,1.0,780,13500,1.0,0,0,4,7,780,0,1946,1989,47.7383,-122.074,2200,67518,5,2014,306000.0,372287.1
3,2.25,1780,7332,2.0,0,0,3,7,1780,0,1987,0,47.3593,-122.051,1510,7625,10,2014,272450.0,279958.88
3,1.5,1270,20700,1.0,0,0,2,7,1150,120,1948,0,47.7576,-122.296,1990,15000,6,2014,260000.0,300448.5
3,2.5,2560,3600,2.0,0,0,3,9,2110,450,1967,2003,47.632,-122.279,2690,4800,10,2014,1399000.0,1516671.8
3,2.0,1560,8509,1.0,0,0,3,8,790,770,1969,0,47.7261,-122.22,1410,7428,9,2014,465000.0,459809.4
3,1.0,960,9633,1.0,0,0,5,6,960,0,1982,0,47.1951,-122.001,1080,8610,5,2014,218000.0,183834.62
2,1.5,1150,3927,2.0,0,0,3,7,1150,0,1982,0,47.7248,-122.162,1400,3425,8,2014,300000.0,320598.9
3,2.5,2130,8022,2.0,0,0,3,8,2130,0,1985,0,47.7252,-122.106,2130,7605,9,2014,475000.0,574525.44
4,2.75,3250,10000,2.0,0,0,3,9,3250,0,2014,0,47.7557,-122.309,1620,10089,12,2014,689000.0,743886.7
3,2.5,2390,47480,2.0,0,0,3,9,2390,0,2007,0,47.4517,-122.084,1720,44866,9,2014,460000.0,581934.75
4,2.5,2240,5500,2.0,0,0,3,8,2240,0,2013,0,47.496,-122.169,700,5500,7,2014,389950.0,401376.28
3,2.25,1530,1840,2.0,0,0,3,8,1240,290,2008,0,47.587,-122.301,1800,3431,4,2015,460000.0,554163.0
3,1.0,1200,8360,1.0,0,0,2,6,1200,0,1948,0,47.5414,-122.281,1570,6823,12,2014,160000.0,325393.75
3,1.75,1520,9600,1.0,0,0,4,7,1520,0,1967,0,47.473,-122.149,1590,10183,2,2015,314950.0,314953.9
3,2.25,2070,7225,1.0,0,0,3,8,1690,380,1979,0,47.3551,-122.148,2070,7400,4,2015,300000.0,320460.72
3,2.0,1170,10051,1.0,0,0,4,7,1170,0,1957,0,47.4229,-122.324,1440,9800,3,2015,200000.0,269992.84
3,2.0,2040,6880,2.0,0,0,4,7,2040,0,1954,0,47.7601,-122.351,1710,7597,2,2015,435000.0,502781.44
4,2.75,2240,8162,2.0,0,0,5,7,1380,860,1946,0,47.7427,-122.34,1550,8163,1,2015,290000.0,515312.06
